lemma,word,family_type,transform_type,freq
decide,decided,mixed,verb_to_noun_sion,1461
decide,decision,mixed,verb_to_noun_sion,897
inform,inform,mixed,verb_to_noun_ation,66
inform,informs,mixed,verb_to_noun_ation,82
inform,informing,mixed,verb_to_noun_ation,25
inform,informed,mixed,verb_to_noun_ation,279
inform,information,mixed,verb_to_noun_ation,890
act,act,derivation,verb_to_noun_tion,1485
act,acts,derivation,verb_to_noun_tion,371
act,acting,derivation,verb_to_noun_tion,633
act,acted,derivation,verb_to_noun_tion,222
act,action,derivation,verb_to_noun_tion,1470
react,react,derivation,verb_to_noun_tion,52
react,reacts,derivation,verb_to_noun_tion,25
react,reacting,derivation,verb_to_noun_tion,42
react,reacted,derivation,verb_to_noun_tion,68
react,reaction,derivation,verb_to_noun_tion,368
expand,expand,derivation,verb_to_noun_sion,182
expand,expands,derivation,verb_to_noun_sion,42
expand,expanding,derivation,verb_to_noun_sion,138
expand,expanded,derivation,verb_to_noun_sion,451
expand,expansion,derivation,verb_to_noun_sion,460
happy,happy,mixed,adj_comp_super_neg_nom,380
happy,happier,mixed,adj_comp_super_neg_nom,14
happy,unhappy,mixed,adj_comp_super_neg_nom,80
happy,happiness,mixed,adj_comp_super_neg_nom,59
quick,quick,mixed,adj_comp_super_adv,266
quick,quicker,mixed,adj_comp_super_adv,35
quick,quickest,mixed,adj_comp_super_adv,23
quick,quickly,mixed,adj_comp_super_adv,1074
strong,strong,mixed,adj_comp_super_nom,1499
strong,stronger,mixed,adj_comp_super_nom,178
strong,strongest,mixed,adj_comp_super_nom,214
strong,strength,mixed,adj_comp_super_nom,620
long,long,mixed,adj_comp_super_nom,3951
long,longer,mixed,adj_comp_super_nom,898
long,longest,mixed,adj_comp_super_nom,314
long,length,mixed,adj_comp_super_nom,980
possible,possible,derivation,prefix_negative,1185
possible,impossible,derivation,prefix_negative,247
legal,legal,derivation,prefix_negative,611
legal,illegal,derivation,prefix_negative,209
moral,moral,derivation,prefix_negative,169
moral,immoral,derivation,prefix_negative,17
regular,regular,derivation,prefix_negative,987
regular,irregular,derivation,prefix_negative,87
appear,appear,mixed,verb_to_noun_ance,904
appear,appears,mixed,verb_to_noun_ance,851
appear,appearing,mixed,verb_to_noun_ance,305
appear,appeared,mixed,verb_to_noun_ance,1607
appear,appearance,mixed,verb_to_noun_ance,1190
differ,differ,mixed,verb_to_noun_ence,101
differ,differs,mixed,verb_to_noun_ence,72
differ,differing,mixed,verb_to_noun_ence,74
differ,differed,mixed,verb_to_noun_ence,66
differ,difference,mixed,verb_to_noun_ence,282
refer,refer,mixed,verb_to_noun_ence,179
refer,refers,mixed,verb_to_noun_ence,262
refer,referring,mixed,verb_to_noun_ence,186
refer,referred,mixed,verb_to_noun_ence,765
refer,reference,mixed,verb_to_noun_ence,541
prefer,prefer,mixed,verb_to_noun_ence,58
prefer,prefers,mixed,verb_to_noun_ence,44
prefer,preferring,mixed,verb_to_noun_ence,53
prefer,preferred,mixed,verb_to_noun_ence,294
prefer,preference,mixed,verb_to_noun_ence,79
nation,nation,derivation,noun_to_adj_prefix,570
nation,nations,derivation,noun_to_adj_prefix,654
nation,national,derivation,noun_to_adj_prefix,3804
nation,international,derivation,noun_to_adj_prefix,2007
music,music,derivation,noun_to_adj_agent,4825
music,musical,derivation,noun_to_adj_agent,1036
music,musician,derivation,noun_to_adj_agent,225
science,science,derivation,noun_to_adj_agent,1000
science,scientific,derivation,noun_to_adj_agent,416
science,scientist,derivation,noun_to_adj_agent,107
economy,economy,derivation,noun_to_adj_domain,423
economy,economic,derivation,noun_to_adj_domain,604
economy,economics,derivation,noun_to_adj_domain,77
read,read,irregular,verb_irregular_past_same_form,588
read,reads,irregular,verb_irregular_past_same_form,98
read,reading,irregular,verb_irregular_past_same_form,423
write,write,irregular,verb_irregular_participle,674
write,writes,irregular,verb_irregular_participle,398
write,writing,irregular,verb_irregular_participle,1823
write,written,irregular,verb_irregular_participle,2430
go,go,irregular,verb_irregular_strong,1588
go,goes,irregular,verb_irregular_strong,481
go,going,irregular,verb_irregular_strong,1117
go,went,irregular,verb_irregular_strong,2148
go,gone,irregular,verb_irregular_strong,375
see,see,irregular,verb_irregular_strong,1471
see,sees,irregular,verb_irregular_strong,272
see,seeing,irregular,verb_irregular_strong,341
see,saw,irregular,verb_irregular_strong,1437
see,seen,irregular,verb_irregular_strong,1748
take,take,irregular,verb_irregular_strong,2250
take,takes,irregular,verb_irregular_strong,796
take,taking,irregular,verb_irregular_strong,1222
take,took,irregular,verb_irregular_strong,3896
take,taken,irregular,verb_irregular_strong,1650
